Rank,Player,Position,Team,ADP
389,R. Flournoy,WR,DAL,233.0
392,E. McPherson,K,CIN,214.0
395,Z. Branch,WR,ATL,196.0
401,G. Bernard,WR,PIT,246.0
406,G. Helm,TE,TEN,220.0
408,B. Aiyuk,WR,UNS,251.0
409,T. Hunter,WR,JAC,162.0
418,D. Wicks,WR,PHI,227.0
424,J. Lane,WR,BAL,184.0
432,D. Mooney,WR,NYG,239.0
435,T. Hill,WR,UNS,201.0
436,G. Dulcich,TE,MIA,236.0
437,S. Sanders,QB,CLE,260.0
448,C. Parkinson,TE,LAR,249.0
449,M. Washington,WR,MIA,221.0
459,K. Coleman,WR,BUF,265.0
471,A. Szmyt,K,CLE,282.0
476,M. Gesicki,TE,CIN,270.0
480,I. TeSlaa,WR,DET,206.0
507,E. Sarratt,WR,BAL,263.0
513,N. Dell,WR,HOU,197.0
538,M. Mims Jr.,WR,DEN,271.0
539,C. Bell,WR,MIA,219.0
540,D. Njoku,TE,LAC,229.0
546,T. Franklin,WR,DEN,269.0
629,S. Vaki,RB,DET,291.0
675,T. Hurst,WR,TB,224.0
676,C. Allen,WR,KC,216.0
679,A. Williams,WR,WAS,202.0
692,T. Horton,WR,SEA,250.0
712,M. Taylor,TE,NYJ,262.0
718,E. Stowers,TE,PHI,237.0
723,M. Fields,WR,NYG,242.0
778,C. Dike,WR,TEN,261.0
780,T. Johnson,TE,NYG,240.0
891,J. Tonges,TE,SF,241.0
914,B. Wright,TE,DET,293.0
1002,E. Chism,WR,NE,289.0
1174,L. Wester,WR,BAL,298.0
1550,Z. Wilson,QB,NO,286.0
1570,C. Tune,QB,GB,290.0
1579,M. Duggan,QB,UNS,0.0
